date,open,high,low,close,adj_close,range_over_open,range_change,range_move,price_change,tomo_price_move,volume,qty_change,qty_move,5d_avg_range,change_in_5d_avg_range,5d_avg_range_move,5d_avg_px,change_in_5d_avg_px,5d_avg_px_move,5d_avg_qty,change_in_5d_avg_qty,5d_avg_qty_move,10d_avg_px,change_in_10d_avg_px,10d_avg_px_move
7/24/2015,0.73,0.74,0.73,0.73,0.73,0.01369863,-0.014470384,Down,0.01,Up,725547,86953,Up,0.044683604,-0.00332088,Down,0.71,0.013,Up,1970198.2,31778.4,Up,0.691,0.005,Up
7/27/2015,0.735,0.785,0.735,0.765,0.765,0.068027211,0.054328581,Up,0.035,Down,1865260,1139713,Up,0.045981353,0.00129775,Up,0.73,0.02,Up,1836294.6,-133903.6,Down,0.7005,0.0095,Up
7/28/2015,0.765,0.765,0.755,0.755,0.755,0.013071895,-0.054955315,Down,-0.01,Flat,1104774,-760486,Down,0.035552254,-0.010429099,Down,0.736,0.006,Up,1357898.4,-478396.2,Down,0.7095,0.009,Up
7/29/2015,0.755,0.755,0.75,0.755,0.755,0.006622517,-0.006449379,Down,0,Down,839125,-265649,Down,0.025917853,-0.009634401,Down,0.745,0.009,Up,1034660,-323238.4,Down,0.7165,0.007,Up
7/30/2015,0.755,0.755,0.745,0.745,0.745,0.013245033,0.006622517,Up,-0.01,Down,464844,-374281,Down,0.022933057,-0.002984796,Down,0.75,0.005,Up,999910,-34750,Down,0.7235,0.007,Up
7/31/2015,0.75,0.76,0.73,0.735,0.735,0.04,0.026754967,Up,-0.01,Down,714927,250083,Up,0.028193331,0.005260274,Up,0.751,0.001,Up,997786,-2124,Down,0.7305,0.007,Up
8/3/2015,0.732,0.7325,0.71,0.73,0.73,0.030737705,-0.009262295,Down,-0.005,Down,392898,-322029,Down,0.02073543,-0.007457901,Down,0.744,-0.007,Down,703313.6,-294472.4,Down,0.737,0.0065,Up
8/4/2015,0.72,0.73,0.715,0.725,0.725,0.020833333,-0.009904372,Down,-0.005,Up,252277,-140621,Down,0.022287718,0.001552288,Up,0.738,-0.006,Down,532814.2,-170499.4,Down,0.737,0,Flat
8/5/2015,0.715,0.73,0.71,0.73,0.73,0.027972028,0.007138695,Up,0.005,Up,434506,182229,Up,0.02655762,0.004269902,Up,0.733,-0.005,Down,451890.4,-80923.8,Down,0.739,0.002,Up
8/6/2015,0.72,0.74,0.72,0.735,0.735,0.027777778,-0.00019425,Down,0.005,Flat,190843,-243663,Down,0.029464169,0.002906549,Up,0.731,-0.002,Down,397090.2,-54800.2,Down,0.7405,0.0015,Up
8/7/2015,0.735,0.75,0.72,0.735,0.735,0.040816327,0.013038549,Up,0,Down,178365,-12478,Down,0.029627434,0.000163265,Up,0.731,0,Flat,289777.8,-107312.4,Down,0.741,0.0005,Up
8/10/2015,0.735,0.735,0.71,0.71,0.71,0.034013605,-0.006802721,Down,-0.025,Up,380677,202312,Up,0.030282614,0.00065518,Up,0.727,-0.004,Down,287333.6,-2444.2,Down,0.7355,-0.0055,Down
8/11/2015,0.705,0.725,0.705,0.72,0.72,0.028368794,-0.005644811,Down,0.01,Flat,262495,-118182,Down,0.031789706,0.001507092,Up,0.726,-0.001,Down,289377.2,2043.6,Up,0.732,-0.0035,Down
8/12/2015,0.72,0.74,0.71,0.72,0.72,0.041666667,0.013297872,Up,0,Flat,1451210,1188715,Up,0.034528634,0.002738928,Up,0.724,-0.002,Down,492718,203340.8,Up,0.7285,-0.0035,Down
8/13/2015,0.72,0.73,0.72,0.72,0.72,0.013888889,-0.027777778,Down,0,Down,187046,-1264164,Down,0.031750856,-0.002777778,Down,0.721,-0.003,Down,491958.6,-759.4,Down,0.726,-0.0025,Down
8/14/2015,0.72,0.72,0.71,0.71,0.71,0.013888889,0,Flat,-0.01,Down,343558,156512,Up,0.026365369,-0.005385488,Down,0.716,-0.005,Down,524997.2,33038.6,Up,0.7235,-0.0025,Down
8/17/2015,0.71,0.715,0.7,0.7,0.7,0.021126761,0.007237872,Up,-0.01,Up,197582,-145976,Down,0.023788,-0.002577369,Down,0.714,-0.002,Down,488378.2,-36619,Down,0.7205,-0.003,Down
8/18/2015,0.705,0.71,0.705,0.71,0.71,0.007092199,-0.014034562,Down,0.01,Down,211016,13434,Up,0.019532681,-0.004255319,Down,0.712,-0.002,Down,478082.4,-10295.8,Down,0.719,-0.0015,Down
8/19/2015,0.7,0.705,0.685,0.685,0.685,0.028571429,0.02147923,Up,-0.025,Down,715900,504884,Up,0.016913633,-0.002619048,Down,0.705,-0.007,Down,331020.4,-147062,Down,0.7145,-0.0045,Down
8/20/2015,0.66,0.66,0.6,0.64,0.64,0.090909091,0.062337662,Up,-0.045,Up,1856050,1140150,Up,0.032317674,0.01540404,Up,0.689,-0.016,Down,664821.2,333800.8,Up,0.705,-0.0095,Down
8/21/2015,0.64,0.69,0.62,0.68,0.68,0.109375,0.018465909,Up,0.04,Down,965230,-890820,Down,0.051414896,0.019097222,Up,0.683,-0.006,Down,789155.6,124334.4,Up,0.6995,-0.0055,Down
8/24/2015,0.645,0.66,0.625,0.63,0.63,0.054263566,-0.055111434,Down,-0.05,Up,598495,-366735,Down,0.058042257,0.006627361,Up,0.669,-0.014,Down,869338.2,80182.6,Up,0.6915,-0.008,Down
8/25/2015,0.62,0.64,0.6,0.635,0.635,0.064516129,0.010252563,Up,0.005,Up,828725,230230,Up,0.069527043,0.011484786,Up,0.654,-0.015,Down,992880,123541.8,Up,0.683,-0.0085,Down
8/26/2015,0.64,0.65,0.64,0.645,0.645,0.015625,-0.048891129,Down,0.01,Up,142777,-685948,Down,0.066937757,-0.002589286,Down,0.646,-0.008,Down,878255.4,-114624.6,Down,0.6755,-0.0075,Down
8/27/2015,0.66,0.685,0.66,0.67,0.67,0.037878788,0.022253788,Up,0.025,Down,510739,367962,Up,0.056331697,-0.010606061,Down,0.652,0.006,Up,609193.2,-269062.2,Down,0.6705,-0.005,Down
